"Id_beroep";"Id_verb";"Beroep_letterlijk";"Beroep_vertaling";"Beroep_cat";"Gevangenis"
25615;25643;"Journalier";"Dagloner";;"Gent"
25616;25644;"Geen";"Geen";;"Gent"
25617;25645;"Pompier";"Brandweerman";;"Gent"
25618;25646;"Ouvrier macon";"Metser-arbeider";;"Gent"
25619;25647;"Briquetier";"Steenbakker";;"Gent"
25620;25648;"Vacher";"Koeherder";;"Gent"
25621;25649;"Vacher";"Koeherder";;"Gent"
25622;25650;"Tenanciere de maison de prostitution";"Bordeelhouder";;"Gent"
25623;25651;"Tenancier de maison de prostitution";"Bordeelhouder";;"Gent"
25624;25652;"Ouvrier";"Arbeider";;"Gent"
25625;25653;"Ouvrier de ferme";"Landbouwwerker";;"Gent"
25626;25654;"Menagere";"Huisvrouw";;"Gent"
25627;25655;"Journalier";"Dagloner";;"Gent"
25628;25656;"Ouvrier";"Arbeider";;"Gent"
25629;25657;"Prostituee";"Prostituee";;"Gent"
25630;25658;"Ouvrier de fabrique";"Fabrieksarbeider";;"Gent"
25631;25659;"Boulanger";"Bakker";;"Gent"
25632;25663;"Ouvrier cultivateur";"Landbouwwerker";;"Gent"
25633;25664;"Journalier";"Dagloner";;"Gent"
25634;25665;"Cabaretiere";"Herbergier";;"Gent"
25635;25666;"Cabaretier";"Herbergier";;"Gent"
25636;25667;"Ouvrier de ferme";"Landbouwwerker";;"Gent"
25637;25668;"Journalier";"Dagloner";;"Gent"
25638;25669;"Ouvrier mouleur";"Arbeider in een gietvormmakerij";;"Gent"
25639;25670;"Ouvrier macon";"Metser-arbeider";;"Gent"
25640;25671;"Ouvrier de ferme";"Landbouwwerker";;"Gent"
25641;25672;"Garcon boulanger";"Bakkersknecht";;"Gent"
25642;25673;"Ouvrier macon";"Metser-arbeider";;"Gent"
25643;25674;"Tisserand";"Wever";;"Gent"
25644;25675;"Journalier";"Dagloner";;"Gent"
25645;25676;"Tonnelier";"Kuiper";;"Gent"
25646;25677;"Journalier";"Dagloner";;"Gent"
25647;25678;"Journaliere";"Dagloner";;"Gent"
25648;25679;"Ouvrier";"Arbeider";;"Gent"
25649;25680;"Mitron";"Onbekend";;"Gent"
25650;25681;"Soldaat";"Soldaat";;"Gent"
25651;25682;"Tisserand";"Wever";;"Gent"
25652;25683;"Journalier";"Dagloner";;"Gent"
25653;25687;"Journalier";"Dagloner";;"Gent"
25654;25688;"Cocher";"Voerman";;"Gent"
25655;25689;"Garcon boulanger";"Bakkersknecht";;"Gent"
25656;25690;"Couturiere";"Naaister";;"Gent"
25657;25691;"Tisserand";"Wever";;"Gent"
25658;25692;"Journalier";"Dagloner";;"Gent"
25659;25693;"Serrurrier";"Slotenmaker";;"Gent"
25660;25694;"Macon";"Metser";;"Gent"
25661;25695;"Journalier";"Dagloner";;"Gent"
25662;25696;"Ouvrier ferme";"Landbouwwerker";;"Gent"
25663;25697;"Agent de commerce";"Commercieel agent";;"Gent"
25664;25698;"Tisserand";"Wever";;"Gent"
25665;25699;"Journalier";"Dagloner";;"Gent"
25666;25700;"Ouvrier macon";"Metser-arbeider";;"Gent"
25667;25701;"Ouvrier";"Arbeider";;"Gent"
25668;25702;"Ouvrier macon";"Metser-arbeider";;"Gent"
25669;25703;"Ouvrier";"Arbeider";;"Gent"
25670;25704;"Macon";"Metser";;"Gent"
25671;25705;"Cultivateur";"Landbouwer";;"Gent"
25672;25706;"Ouvrier peintre";"Arbeider-schilder";;"Gent"
25673;25707;"Couturiere";"Naaister";;"Gent"
25674;25708;"Tisserand";"Wever";;"Gent"
25675;25709;"Garcon boulanger";"Bakkersknecht";;"Gent"
25676;25710;"Menagere";"Huisvrouw";;"Gent"
25677;25711;"Journalier";"Dagloner";;"Gent"
25678;25712;"Colporteur";"Straatventer";;"Gent"
25679;25713;"Prostituee";"Prostituee";;"Gent"
25680;25714;"Prostituee";"Prostituee";;"Gent"
25681;25715;"Ouvrier";"Arbeider";;"Gent"
25682;25716;"Prostituee";"Prostituee";;"Gent"
25683;25717;"Journalier";"Dagloner";;"Gent"
25684;25718;"Ouvrier de fabrique";"Fabrieksarbeider";;"Gent"
25685;25719;"Ouvrier";"Arbeider";;"Gent"
25686;25720;"Ouvrier";"Arbeider";;"Gent"
25687;25721;"Ouvrier";"Arbeider";;"Gent"
25688;25722;"Geen";"Geen";;"Gent"
25689;25723;"Journalier";"Dagloner";;"Gent"
25690;25724;"Tourneur en bois";"Houtdraaier";;"Gent"
25691;25725;"Cabaretier";"Herbergier";;"Gent"
25692;25726;"Ouvrier cultivateur";"Landbouwwerker";;"Gent"
25693;25727;"Cultivateur";"Landbouwer";;"Gent"
25694;25728;"Journaliere";"Dagloner";;"Gent"
25695;25729;"Prostituee";"Prostituee";;"Gent"
25696;25730;"Ouvrier cultivateur";"Landbouwwerker";;"Gent"
25697;25731;"Prostituee";"Prostituee";;"Gent"
25698;25732;"Ouvrier";"Arbeider";;"Gent"
25699;25733;"Journaliere";"Dagloner";;"Gent"
25700;25734;"Journalier";"Dagloner";;"Gent"
25701;25735;"Prostituee";"Prostituee";;"Gent"
25702;25736;"Journalier";"Dagloner";;"Gent"
25703;25737;"Ouvrier de ferme";"Landbouwwerker";;"Gent"
25704;25738;"Ouvrier de fabrique";"Fabrieksarbeider";;"Gent"
25705;25739;"Ouvrier";"Arbeider";;"Gent"
25706;25740;"Charretier";"Voerman";;"Gent"
25707;25741;"Journalier";"Dagloner";;"Gent"
25708;25742;"Journalier";"Dagloner";;"Gent"
25709;25743;"Cultivateur";"Landbouwer";;"Gent"
25710;25744;"Tisserand";"Wever";;"Gent"
25711;25745;"Cordonnier";"Schoenmaker";;"Gent"
25712;25746;"Ouvrier menuisier";"Arbeider in de schrijnwerkerij";;"Gent"
25713;25747;"Menagere";"Huisvrouw";;"Gent"
25714;25748;"Tenanciere de maison de prostitution";"Bordeelhouder";;"Gent"
25715;25749;"Cordonnier";"Schoenmaker";;"Gent"
25716;25750;"Tisserand";"Wever";;"Gent"
25717;25751;"Journaliere";"Dagloner";;"Gent"
25718;25752;"Ouvrier";"Arbeider";;"Gent"
25719;25753;"Journalier";"Dagloner";;"Gent"
25720;25754;"Cartonnier";"Verpakker";;"Gent"
25721;25755;"Ouvrier macon";"Metser-arbeider";;"Gent"
25722;25756;"Garcon de café";"Ober";;"Gent"
25723;25757;"Ouvrier macon";"Metser-arbeider";;"Gent"
25724;25758;"Agent de remplacement militaire";"Wisselagente";;"Gent"
25725;25759;"Tisserand";"Wever";;"Gent"
25726;25760;"Journalier";"Dagloner";;"Gent"
25727;25761;"Ouvrier";"Arbeider";;"Gent"
25728;25762;"Ouvrier";"Arbeider";;"Gent"
25729;25763;"Journalier";"Dagloner";;"Gent"
25730;25764;"Journalier";"Dagloner";;"Gent"
25731;25765;"Ouvrier de ferme";"Landbouwwerker";;"Gent"
25732;25766;"Ouvrier";"Arbeider";;"Gent"
25733;25767;"Menagere";"Huisvrouw";;"Gent"
25734;25768;"Paveur";"Stratenlegger";;"Gent"
25735;25769;"Chauffeur";"Chauffeur";;"Gent"
25736;25770;"Ouvrier de fabrique";"Fabrieksarbeider";;"Gent"
25737;25771;"Cocher";"Voerman";;"Gent"
25738;25772;"Menagere";"Huisvrouw";;"Gent"
