"Id_geboorteplaats";"Id_verbl";"Plaatsnaam_letterlijk";"Plaatsnaam_vertaling";"Gevangenis"
19983;20024;"Heusden";"Heusden";"Gent"
19984;20025;"Desteldonck";"Desteldonk";"Gent"
19985;20026;"Oostacker";"Oostakker";"Gent"
19986;20027;"Gand";"Gent";"Gent"
19987;20028;"Wachtebeke";"Wachtebeke";"Gent"
19988;20029;"Evergem";"Evergem";"Gent"
19989;20030;"Gand";"Gent";"Gent"
19990;20031;"Tronchiennes";"Drongen";"Gent"
19991;20032;"Gand";"Gent";"Gent"
19992;20033;"Tulin (Autriche)";"Oostenrijk";"Gent"
19993;20034;"Oostacker";"Oostakker";"Gent"
19994;20035;"Gand";"Gent";"Gent"
19995;20036;"Ghlin (Hainaut)";"Ghlin";"Gent"
19996;20037;"St. Martin au Buneau (Fr.)";"Frankrijk";"Gent"
19997;20038;"Gand";"Gent";"Gent"
19998;20039;"Swynaerde";"Zwijnaarde";"Gent"
19999;20040;"Gand";"Gent";"Gent"
20000;20041;"Dickelvenne";"Dikkelvenne";"Gent"
20001;20042;"Burduine (Liege)";"Burdinne";"Gent"
20002;20043;"Gand";"Gent";"Gent"
20003;20044;"Melle";"Melle";"Gent"
20004;20045;"Gand";"Gent";"Gent"
20005;20046;"Cluysen";"Kluizen";"Gent"
20006;20047;"Oost-Eecloo";"Oosteeklo";"Gent"
20007;20048;"Gand";"Gent";"Gent"
20008;20049;"Gand";"Gent";"Gent"
20009;20050;"Gand";"Gent";"Gent"
20010;20051;"Gand";"Gent";"Gent"
20011;20052;"Lichtervelde";"Lichtervelde";"Gent"
20012;20053;"Maldegem";"Maldegem";"Gent"
20013;20054;"Gand";"Gent";"Gent"
20014;20055;"lembeke";"Lembeke";"Gent"
20015;20056;"Lembeke";"Lembeke";"Gent"
20016;20057;"Gand";"Gent";"Gent"
20017;20058;"Eecloo";"Eeklo";"Gent"
20018;20059;"Gand";"Gent";"Gent"
20019;20060;"Bruges";"Brugge";"Gent"
20020;20061;"Gand";"Gent";"Gent"
20021;20062;"Lootenhulle";"Lotenhulle";"Gent"
20022;20063;"Gand";"Gent";"Gent"
20023;20064;"Gand";"Gent";"Gent"
20024;20065;"Bassevelde";"Bassevelde";"Gent"
20025;20066;"Bouchaute";"Boekhoute";"Gent"
20026;20067;"Maldegem";"Maldegem";"Gent"
20027;20068;"Eecloo";"Eeklo";"Gent"
20028;20069;"Maldeghem";"Maldegem";"Gent"
20029;20070;"Maldegem";"Maldegem";"Gent"
20030;20071;"Gand";"Gent";"Gent"
20031;20072;"Gand";"Gent";"Gent"
20032;20073;"Gand";"Gent";"Gent"
20033;20074;"Eecloo";"Eeklo";"Gent"
20034;20075;"Gand";"Gent";"Gent"
20035;20076;"Gand";"Gent";"Gent"
20036;20077;"Gand";"Gent";"Gent"
20037;20078;"Eecloo";"Eeklo";"Gent"
20038;20079;"Scheldebeke";"Schendelbeke";"Gent"
20039;20080;"corbion (Luxembourg)";"Corbion";"Gent"
20040;20081;"Adeghem";"Adegem";"Gent"
20041;20082;"Gand";"Gent";"Gent"
20042;20083;"Gand";"Gent";"Gent"
20043;20084;"Loochristy";"Lochristi";"Gent"
20044;20085;"Eecloo";"Eeklo";"Gent"
20045;20086;"St. Laurent";"Sint-Laureins";"Gent"
20046;20087;"Gand";"Gent";"Gent"
20047;20088;"Wetteren";"Wetteren";"Gent"
20048;20089;"Caprycke";"Kaprijke";"Gent"
20049;20090;"Maldeghem";"Maldegem";"Gent"
20050;20091;"Gand";"Gent";"Gent"
20051;20092;"Poucke";"Poeke";"Gent"
20052;20093;"Gand";"Gent";"Gent"
20053;20094;"Gand";"Gent";"Gent"
20054;20095;"Gand";"Gent";"Gent"
20055;20096;"Gand";"Gent";"Gent"
20056;20097;"Gand";"Gent";"Gent"
20057;20098;"Auwegem";"Ouwegem";"Gent"
20058;20099;"Nazareth";"Nazareth";"Gent"
20059;20100;"Eecloo";"Eeklo";"Gent"
20060;20101;"Smetlede";"Smetlede";"Gent"
20061;20102;"Gand";"Gent";"Gent"
20062;20103;"Melle";"Melle";"Gent"
20063;20104;"Huysse";"Huise";"Gent"
20064;20105;"Roubaix";"Frankrijk";"Gent"
20065;20106;"Gand";"Gent";"Gent"
20066;20107;"Gand";"Gent";"Gent"
20067;20108;"Hoeylaert";"Hoeilaart";"Gent"
20068;20109;"Zwoll (Hollande)";"Nederland";"Gent"
20069;20110;"Lokeren";"Lokeren";"Gent"
20070;20111;"Gand";"Gent";"Gent"
20071;20112;"Huysse";"Huise";"Gent"
20072;20113;"Gand";"Gent";"Gent"
20073;20114;"Audenaerde";"Oudenaarde";"Gent"
20074;20115;"Gand";"Gent";"Gent"
20075;20116;"Bruges";"Brugge";"Gent"
20164;20205;"Gand";"Gent";"Gent"
20165;20206;"Caprycke";"Kaprijke";"Gent"
20166;20207;"Gand";"Gent";"Gent"
20167;20208;"Ledeberg";"Ledeberg";"Gent"
20168;20209;"Gand";"Gent";"Gent"
20169;20210;"Gand";"Gent";"Gent"
20170;20211;"Gand";"Gent";"Gent"
20171;20212;"Zelzaete";"Zelzate";"Gent"
20172;20213;"Gand";"Gent";"Gent"
20173;20214;"Gand";"Gent";"Gent"
20174;20215;"Gendbrugge";"Gentbrugge";"Gent"
20175;20216;"Ledeberg";"Ledeberg";"Gent"
20176;20217;"Wortegem";"Wortegem";"Gent"
20177;20218;"Gand";"Gent";"Gent"
20178;20219;"Belleghem";"Bellegem";"Gent"
20179;20220;"Mulste";"Onbekend";"Gent"
20180;20221;"Deynze";"Deinze";"Gent"
20181;20222;"Lokeren";"Lokeren";"Gent"
20182;20223;"Oostacker";"Oostakker";"Gent"
20183;20224;"Gand";"Gent";"Gent"
20184;20225;"Roux";"Roux";"Gent"
20185;20226;"Huysse";"Huise";"Gent"
20186;20227;"Gand";"Gent";"Gent"
20187;20228;"Goez (Zeeland)";"Nederland";"Gent"
20188;20229;"Courtrai";"Kortrijk";"Gent"
20189;20230;"Gand";"Gent";"Gent"
20190;20231;"somergem";"Zomergem";"Gent"
20191;20232;"Gand";"Gent";"Gent"
20192;20233;"Iseghem";"Izegem";"Gent"
20193;20234;"Bouchoute";"Boekhoute";"Gent"
20194;20235;"Gand";"Gent";"Gent"
20195;20236;"Lendelede";"Lendelede";"Gent"
20196;20237;"Bruges";"Brugge";"Gent"
20197;20238;"Gand";"Gent";"Gent"
20198;20239;"Gand";"Gent";"Gent"
20199;20240;"Tronchiennes";"Drongen";"Gent"
20200;20241;"Gand";"Gent";"Gent"
20201;20242;"Maesen";"Onbekend";"Gent"
20202;20243;"Gand";"Gent";"Gent"
20203;20244;"Nazareth";"Nazareth";"Gent"
20204;20245;"Gand";"Gent";"Gent"
20205;20246;"Middelburg";"Nederland";"Gent"
20206;20247;"Gand";"Gent";"Gent"
20207;20248;"Assenede";"Assenede";"Gent"
20208;20249;"Lokeren";"Lokeren";"Gent"
20209;20250;"Baelegem";"Balegem";"Gent"
20210;20251;"Gand";"Gent";"Gent"
20211;20252;"Bessegem";"Bissegem";"Gent"
20212;20253;"Haasdonck";"Haasdonk";"Gent"
20213;20254;"Gand";"Gent";"Gent"
20214;20255;"Bruges";"Brugge";"Gent"
20215;20256;"Gand";"Gent";"Gent"
20216;20257;"Nazareth";"Nazareth";"Gent"
20217;20258;"Gand";"Gent";"Gent"
20218;20259;"Ardoye";"Ardooie";"Gent"
20219;20260;"Zuyenkerke";"Zuienkerke";"Gent"
20220;20261;"Houtlare";"Houtave";"Gent"
20221;20262;"Zuyenkerke";"Zuienkerke";"Gent"
20222;20263;"melden";"Melden";"Gent"
20223;20264;"Ertvelde";"Ertvelde";"Gent"
20224;20265;"Loochristy";"Lochristi";"Gent"
20225;20266;"Gand";"Gent";"Gent"
20226;20267;"Adegem";"Adegem";"Gent"
20227;20268;"Gentbrugge";"Gentbrugge";"Gent"
20228;20269;"Destelbergen";"Destelbergen";"Gent"
20229;20270;"Gand";"Gent";"Gent"
20230;20271;"St. Laurent";"Sint-Laureins";"Gent"
20231;20272;"Sevenecken";"Zeveneken";"Gent"
20232;20273;"Gand";"Gent";"Gent"
20233;20274;"Loochristy";"Lochristi";"Gent"
20234;20275;"Ostende";"Oostende";"Gent"
20235;20276;"Bouchout";"Boekhoute";"Gent"
20236;20277;"Oost Eecloo";"Oosteeklo";"Gent"
20237;20278;"Oost Eecloo";"Oosteeklo";"Gent"
20238;20279;"Bouchoute";"Boekhoute";"Gent"
20239;20280;"Gand";"Gent";"Gent"
20240;20281;"Sleydinge";"Sleidinge";"Gent"
20241;20282;"Moerbeke";"Moerbeke";"Gent"
20242;20283;"Dickelvenne";"Dikkelvenne";"Gent"
20243;20284;"Gand";"Gent";"Gent"
20244;20285;"St. Nicholas";"Sint-Niklaas";"Gent"
20245;20286;"Moerbeke";"Moerbeke";"Gent"
20246;20287;"Vynckt";"Vinkt";"Gent"
20247;20288;"Laneghem";"Landegem";"Gent"
20248;20289;"Evergem";"Evergem";"Gent"
20249;20290;"Gand";"Gent";"Gent"
20250;20291;"Evergem";"Evergem";"Gent"
20251;20292;"Lede";"Lede";"Gent"
20252;20293;"Gand";"Gent";"Gent"
20253;20294;"Gand";"Gent";"Gent"
20254;20295;"Gand";"Gent";"Gent"
20255;20296;"Gand";"Gent";"Gent"
20256;20297;"Saffelaere";"Zaffelare";"Gent"
20257;20298;"Eecloo";"Eeklo";"Gent"
20258;20299;"Loochristy";"Lochristi";"Gent"
20259;20300;"Assenede";"Assenede";"Gent"
20260;20301;"Bouchaute";"Boekhoute";"Gent"
20261;20302;"Lokeren";"Lokeren";"Gent"
20262;20303;"Bassevelde";"Bassevelde";"Gent"
20263;20304;"Gand";"Gent";"Gent"
20264;20305;"Gand";"Gent";"Gent"
20265;20306;"Hamme";"Hamme";"Gent"
20266;20307;"Gand";"Gent";"Gent"
20267;20308;"Gand";"Gent";"Gent"
20268;20309;"Gand";"Gent";"Gent"
20269;20310;"Erembodegem";"Erembodgem";"Gent"
20270;20311;"Gentbrugge";"Gentbrugge";"Gent"
20271;20312;"St. Georges ten Dissel";"Sint-Joris";"Gent"
20272;20313;"Oostacker";"Oostakker";"Gent"
20273;20314;"Huysden";"Heusden";"Gent"
20274;20315;"Gand";"Gent";"Gent"
20275;20316;"Gand";"Gent";"Gent"
20276;20317;"Eecloo";"Eeklo";"Gent"
20277;20318;"Welden";"Welden";"Gent"
20278;20319;"Gand";"Gent";"Gent"
20279;20320;"Gand";"Gent";"Gent"
20280;20321;"Eecloo";"Eeklo";"Gent"
20281;20322;"Gand";"Gent";"Gent"
20282;20323;"Gand";"Gent";"Gent"
20283;20324;"Renaix";"Ronse";"Gent"
20284;20325;"Renaix";"Ronse";"Gent"
20285;20326;"Aersele";"Aarsele";"Gent"
20286;20327;"Lokeren";"Lokeren";"Gent"
20287;20328;"Lokeren";"Lokeren";"Gent"
20288;20329;"Gand";"Gent";"Gent"
20289;20330;"Asper";"Asper";"Gent"
20290;20331;"Gand";"Gent";"Gent"
20291;20332;"Gand";"Gent";"Gent"
20292;20333;"Assenede";"Assenede";"Gent"
20293;20334;"Gand";"Gent";"Gent"
20294;20335;"Evergem";"Evergem";"Gent"
20295;20336;"Gand";"Gent";"Gent"
20296;20337;"Gand";"Gent";"Gent"
20297;20338;"Oostacker";"Oostakker";"Gent"
20298;20339;"Gand";"Gent";"Gent"
20299;20340;"Gand";"Gent";"Gent"
20300;20341;"Andenne (Namur)";"Andenne";"Gent"
20301;20342;"Gand";"Gent";"Gent"
20302;20343;"Lokeren";"Lokeren";"Gent"
20303;20344;"Gand";"Gent";"Gent"
20304;20345;"Aeltre";"Aalter";"Gent"
20305;20346;"Evergem";"Evergem";"Gent"
20306;20347;"Gand";"Gent";"Gent"
20307;20348;"Merendree";"Merendree";"Gent"
20308;20349;"Waerschoot";"Waarschoot";"Gent"
20309;20350;"Gand";"Gent";"Gent"
20310;20351;"Destelbergen";"Destelbergen";"Gent"
20311;20352;"Swynaerde";"Zwijnaarde";"Gent"
20312;20353;"Gand";"Gent";"Gent"
20313;20354;"Poesele";"Poesele";"Gent"
20314;20355;"Gand";"Gent";"Gent"
20315;20356;"Gand";"Gent";"Gent"
20316;20357;"Tronchiennes";"Drongen";"Gent"
20317;20358;"Somergem";"Zomergem";"Gent"
20318;20359;"Aerseele";"Aarsele";"Gent"
20319;20360;"Gand";"Gent";"Gent"
20320;20361;"Alluin";"Onbekend";"Gent"
20321;20362;"Huysse";"Huise";"Gent"
20322;20363;"Zeveren";"Zeveren";"Gent"
20323;20364;"Vynckt";"Vinkt";"Gent"
20324;20365;"Gand";"Gent";"Gent"
20325;20366;"Gand";"Gent";"Gent"
20326;20367;"Gand";"Gent";"Gent"
20327;20368;"Wetteren";"Wetteren";"Gent"
20328;20369;"Aeltre";"Aalter";"Gent"
20329;20370;"Nevele";"Nevele";"Gent"
20330;20371;"Syngen";"Zingem";"Gent"
20331;20372;"Gand";"Gent";"Gent"
20332;20373;"Petegem les Deynze";"Petegem (Deinze)";"Gent"
20333;20374;"St. Jean in Eremo";"St-Jan-in-Eremo";"Gent"
20334;20375;"Paris";"Frankrijk";"Gent"
20335;20376;"Deurle";"Deurle";"Gent"
20336;20377;"Cluysen";"Kluizen";"Gent"
20337;20378;"Gand";"Gent";"Gent"
20338;20379;"Aeltre";"Aalter";"Gent"
20339;20380;"Aeltre";"Aalter";"Gent"
20340;20381;"Gand";"Gent";"Gent"
20341;20382;"Deurle";"Deurle";"Gent"
20342;20383;"Syseele";"Sijsele";"Gent"
20343;20384;"Nazareth";"Nazareth";"Gent"
20344;20385;"Gand";"Gent";"Gent"
20345;20386;"Huysse";"Huise";"Gent"
20346;20387;"Aeltre";"Aalter";"Gent"
20347;20388;"Cruyshautem";"Kruishoutem";"Gent"
20348;20389;"Merelbeke";"Merelbeke";"Gent"
20349;20390;"Ledeberg";"Ledeberg";"Gent"
20350;20391;"Gand";"Gent";"Gent"
20351;20392;"Bottelaere";"Bottelare";"Gent"
20352;20393;"Heusden";"Heusden";"Gent"
20353;20394;"Bruges";"Brugge";"Gent"
20354;20395;"Gand";"Gent";"Gent"
20355;20396;"Meyghem";"Meigem";"Gent"
20356;20397;"Leerne St. Martins";"Sint Martens-Leerne";"Gent"
20357;20398;"Aeltre";"Aalter";"Gent"
20358;20399;"Gand";"Gent";"Gent"
20359;20400;"Machelen";"Machelen";"Gent"
20360;20401;"Lede";"Lede";"Gent"
20361;20402;"Nederbrackel";"Nederbrakel";"Gent"
20362;20403;"Nederhasselt";"Nederhasselt";"Gent"
20363;20404;"Gand";"Gent";"Gent"
20364;20405;"Selzaete";"Zelzate";"Gent"
20365;20406;"Sleydinge";"Sleidinge";"Gent"
20366;20407;"Eyne";"Eine";"Gent"
20367;20408;"Gand";"Gent";"Gent"
20368;20409;"Vynckt";"Vinkt";"Gent"
20369;20410;"Gand";"Gent";"Gent"
20370;20411;"Gand";"Gent";"Gent"
20371;20412;"Nazareth";"Nazareth";"Gent"
20372;20413;"Gand";"Gent";"Gent"
20373;20414;"Gand";"Gent";"Gent"
20374;20415;"Heusden";"Heusden";"Gent"
20375;20416;"Gand";"Gent";"Gent"
20376;20417;"Gand";"Gent";"Gent"
20377;20418;"Sleydinge";"Sleidinge";"Gent"
20378;20419;"Cluysen";"Kluizen";"Gent"
20379;20420;"Landegem";"Landegem";"Gent"
20380;20421;"Gand";"Gent";"Gent"
20381;20422;"Gand";"Gent";"Gent"
20382;20423;"Sleydinge";"Sleidinge";"Gent"
20383;20424;"Moerbeke";"Moerbeke";"Gent"
20384;20425;"Gand";"Gent";"Gent"
20385;20426;"Wynckel";"Winkel";"Gent"
20386;20427;"Cluysen";"Kluizen";"Gent"
20387;20428;"Bellem";"Bellem";"Gent"
20388;20429;"Somergem";"Zomergem";"Gent"
20389;20430;"Gand";"Gent";"Gent"
20390;20431;"Lille (Fr.)";"Frankrijk";"Gent"
